可燃性固体として正しくないものは？, ポリスチレン, セルロイド, 硝酸, 石綿, 木材, 3
危険物の事故時に通報すべき組織は？, 消防署, 郵便局, 保健所, 図書館, 教育委員会, 1
酸化性物質の例として正しいものは？, エタノール, 塩酸, 酸素ガス, ブチルアルコール, トルエン, 3
危険物取締法の目的として不適切なものは？, 事故防止, 安全確保, 環境保護, 販売促進, 健康保護, 4
水と反応して発熱する物質として認識されるものは？, 塩, シリカゲル, 酸化カルシウム, 砂糖, ポリエチレン, 3
可燃ガスの代表例として正しいものは？, 窒素, ヘリウム, 酸素, プロパン, 水素化カリウム, 4
危険物のラベルに記載されている情報として不適切なものは？, 種類, 容量, 製造者名, 価格, 保管方法, 4
乙種試験の範囲に含まれないものは？, 石油, ガソリン, 酸, 石鹸, 有機溶剤, 4
危険物の取扱いにおいて重要視されるのは？, 安価さ, 色の鮮やかさ, 安全性, 味の良さ, 販売促進, 3
消火器の種類の中で、油火に使用すると危険なものは？, 水系, 粉末系, ガス系, フォーム系, 全て使用可能, 1
可燃性液体の蒸気が空気と混ざり爆発する可能性が生じる範囲を示す用語は？, 爆発限界, 反応速度, 分子量, 融点, 沸点, 1
危険物の中で、毒性を持つものとして不適切な例は？, シアン, 一酸化炭素, 桜の花, 塩酸, フォーマルデヒド, 3
溶剤の中で、揮発性が強く火災の原因となりやすいものは？, 水, グリセリン, アセトン, グルコース, 塩, 3
有機物質が酸化する際に放出されるガスは？, 窒素, 酸素, 炭酸ガス, ヘリウム, 水蒸気, 3
ガソリンの蒸気と空気が混じり爆発する最低の濃度を示す用語は？, 下限爆発限界, 分子構造, 溶解度, 蒸気圧, 等温変化, 1
乙種試験で試験される内容として適切でないものは？, 危険物の性質, 取扱い方法, 価格交渉, 事故時の対応, 法令に基づく知識, 3
一般的に「引火点」とは何を指すか？, 沸騰する点, 点火しない最高温度, 点火する最低温度, 凍結する点, 融解する点, 3
危険物取締法での「毒物」とは何か？, 人体に対して有害な物質, 植物にのみ有害な物質, 味が苦い物質, 魚に有害な物質, 色が赤い物質, 1
ガスボンベの保管時に適切でない行動は？, 直射日光を避ける, 高温の場所に置く, 換気の良い場所に置く, 立てて保管する, 子供の手の届かない場所に置く, 2
可燃性のガスを安全に使用するための方法として不適切なものは？, ガスのにおいがしたら確認する, ガス器具の点検を定期的に行う, ガス使用中に窓を全て閉める, ガスボンベや器具の接続部分の漏れをチェックする, ガス器具の取扱説明書を守る, 3
水と接触すると発火する危険性を持つ物質は？, 塩, 水酸化カリウム, シリカゲル, アスピリン, ジェル状化剤, 2
非水溶性の有機溶剤の火災時に使用すべき消火剤は？, 水, CO2, 発泡剤, 砂, 消火毯, 2
ガソリンの蒸気は、どの方向に広がりやすい？, 上昇, 下降, 右, 左, 前方, 2
爆発の原因となるガスのうち、一番軽いものは？, プロパン, メタン, 炭酸ガス, アセチレン, 一酸化炭素, 2
危険物を取り扱う際の基本中の基本は？, 早く作業を終わらせること, 美しく配置すること, 安全第一, 良い匂いを放つこと, 静かに作業すること, 3
液体酸素の取扱い中に禁止されている行動は？, 冷やす, 保温する, 煙草を吸う, 電話を使う, 話すこと, 3
危険物を運搬する際の注意点として適切でないものは？, しっかりと蓋を閉める, 衝撃に強い容器を選ぶ, 高速で運ぶ, 正確なラベリングをする, 露出を避けるための包装をする, 3
危険物の表示に関する法律として正しいものは？, 消費税法, 交通法, 表示法, 危険物取締法, 公害対策基本法, 4
危険物の分類に関連しないものは？, 毒性, 酸化性, 引火性, 反射性, 爆発性, 4
電気的な原因での火災を防ぐための方法として不適切なものは？, 適切な容量のヒューズを使用する, 配線を適切に整理する, 水をかけて冷やす, 乾燥した場所で電気機器を使用する, 過負荷にならないようにする, 3
ガスが漏れた場合の最初の行動は？, 窓を全て閉じる, 消防署に通報する, ガスの元栓を閉める, 煙草を吸う, ガスのにおいを嗅ぐ, 3
酸を目に入れた時の対応として適切なものは？, 目をこする, 水で十分に洗浄する, オイルで洗浄する, そのままにする, 眼鏡をかける, 2
可燃性の高いガスとして正しくないものは？, ヘリウム, メタン, プロパン, ブタン, アセチレン, 1
高温時に爆発する危険性がある物質として正しいものは？, 二酸化炭素, 水, アセトン, 酸素, 塩, 3
液体窒素の取扱いに際して注意すべき点として不適切なものは？, 密閉容器に保管する, 通気性の良い場所で取り扱う, 保冷剤としての使用, 直接肌に触れないようにする, 低温やけどのリスクを認識する, 1
水と接触すると発火する危険性を持つ物質は？, 塩, 水酸化カリウム, シリカゲル, アスピリン, ジェル状化剤, 2
非水溶性の有機溶剤の火災時に使用すべき消火剤は？, 水, CO2, 発泡剤, 砂, 消火毯, 2
ガソリンの蒸気は、どの方向に広がりやすい？, 上昇, 下降, 右, 左, 前方, 2
爆発の原因となるガスのうち、一番軽いものは？, プロパン, メタン, 炭酸ガス, アセチレン, 一酸化炭素, 2
危険物を取り扱う際の基本中の基本は？, 早く作業を終わらせること, 美しく配置すること, 安全第一, 良い匂いを放つこと, 静かに作業すること, 3
液体酸素の取扱い中に禁止されている行動は？, 冷やす, 保温する, 煙草を吸う, 電話を使う, 話すこと, 3
危険物を運搬する際の注意点として適切でないものは？, しっかりと蓋を閉める, 衝撃に強い容器を選ぶ, 高速で運ぶ, 正確なラベリングをする, 露出を避けるための包装をする, 3
危険物の表示に関する法律として正しいものは？, 消費税法, 交通法, 表示法, 危険物取締法, 公害対策基本法, 4
危険物の分類に関連しないものは？, 毒性, 酸化性, 引火性, 反射性, 爆発性, 4
電気的な原因での火災を防ぐための方法として不適切なものは？, 適切な容量のヒューズを使用する, 配線を適切に整理する, 水をかけて冷やす, 乾燥した場所で電気機器を使用する, 過負荷にならないようにする, 3
ガスが漏れた場合の最初の行動は？, 窓を全て閉じる, 消防署に通報する, ガスの元栓を閉める, 煙草を吸う, ガスのにおいを嗅ぐ, 3
酸を目に入れた時の対応として適切なものは？, 目をこする, 水で十分に洗浄する, オイルで洗浄する, そのままにする, 眼鏡をかける, 2
可燃性の高いガスとして正しくないものは？, ヘリウム, メタン, プロパン, ブタン, アセチレン, 1
高温時に爆発する危険性がある物質として正しいものは？, 二酸化炭素, 水, アセトン, 酸素, 塩, 3
液体窒素の取扱いに際して注意すべき点として不適切なものは？, 密閉容器に保管する, 通気性の良い場所で取り扱う, 保冷剤としての使用, 直接肌に触れないようにする, 低温やけどのリスクを認識する, 1


"ジエチルエーテルの比重はいくつですか？","0.5","0.7","1.0","1.2","2.5","2"
"ジエチルエーテルの引火点はどの温度ですか？","-20℃","-45℃","0℃","25℃","160℃","2"
"ジエチルエーテルの燃焼範囲の下限はどれくらいですか？","0.5％","1.0％","1.9％","48％","2.5％","3"
"ジエチルエーテルの蒸気比重はいくつですか？","0.7","1.0","2.0","2.5","3.0","4"
"ジエチルエーテルは水にどの程度溶けますか？","全く溶けない","完全に溶ける","少量溶ける","油にのみ溶ける","アルコールにのみ溶ける","3"
